ID,artist,song,duration_ms,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
209,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,TRUE,2002,68,0.648,0.759,-4.315,0.306,0.0142,0,0.648,0.518,85.996,"hip hop, pop"
210,Eminem,'Till I Collapse,297786,TRUE,2002,85,0.548,0.847,-3.237,0.186,0.0622,0,0.0816,0.1,171.447,hip hop
211,Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,FALSE,2004,69,0.713,0.471,-7.392,0.483,0.421,0,0.0308,0.779,199.764,"hip hop, pop"
212,Christina Milian,When You Look At Me - Radio Edit,222546,FALSE,2001,60,0.955,0.839,-3.399,0.127,0.0934,0.000175,0.099,0.825,108.955,"hip hop, pop, R&B"
213,Madonna,Die Another Day,276360,FALSE,2003,53,0.792,0.797,-5.166,0.0901,0.062,0.00325,0.0896,0.491,123.993,pop
214,Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,FALSE,2002,53,0.718,0.69,-4.382,0.265,0.106,0,0.271,0.774,93.401,"hip hop, pop, R&B"
215,Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,FALSE,2019,40,0.583,0.643,-7.486,0.355,0.171,0,0.0395,0.7,195.685,pop
216,Linkin Park,In the End,216880,FALSE,2000,83,0.556,0.864,-5.87,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal"
217,Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,213973,FALSE,2002,66,0.607,0.923,-6.777,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819,set()
218,Aaliyah,Rock The Boat,275026,FALSE,2019,0,0.641,0.72,-5.209,0.0336,0.0688,0.00286,0.193,0.418,92.988,"hip hop, pop, R&B"
219,Holly Valance,Kiss Kiss,204400,FALSE,2002,54,0.705,0.717,-4.944,0.125,0.00369,0.461,0.0701,0.554,97.036,"pop, Dance/Electronic"
220,Sugababes,Round Round,236426,FALSE,2002,59,0.74,0.845,-3.802,0.0338,0.00287,6.23e-06,0.115,0.749,126.607,"pop, R&B"
221,Marilyn Manson,Tainted Love,200426,FALSE,2003,60,0.622,0.876,-7.779,0.0728,0.00107,1.83e-06,0.292,0.537,142.017,"rock, metal"
222,Brandy,What About Us?,253200,FALSE,2002,43,0.686,0.698,-2.942,0.223,0.263,0,0.39,0.748,93.118,"hip hop, pop, R&B"
223,Chad Kroeger,Hero (feat. Josey Scott),200480,FALSE,2003,66,0.427,0.843,-4.54,0.0364,0.00216,0,0.179,0.304,147.387,metal
224,Britney Spears,Overprotected - Radio Edit,198600,FALSE,2001,61,0.682,0.894,-1.73,0.0727,0.0381,0,0.416,0.845,95.992,pop
225,Scooter,The Logical Song,234116,FALSE,2013,46,0.527,0.933,-6.277,0.0382,0.00112,0.0362,0.425,0.493,144.043,"pop, Dance/Electronic"
226,Missy Elliott,4 My People (feat. Eve),289373,TRUE,2001,49,0.969,0.701,-7.503,0.156,0.14,0.00161,0.201,0.905,121.392,"hip hop, pop, R&B"
227,Aaliyah,More Than A Woman,230346,FALSE,2002,42,0.646,0.638,-5.803,0.0787,0.0556,0.0014,0.182,0.74,86.994,"hip hop, pop, R&B"
228,Brandy,Full Moon,248933,FALSE,2002,52,0.611,0.654,-4.823,0.139,0.372,0.00432,0.0926,0.609,105.922,"hip hop, pop, R&B"
229,Blue,One Love,207186,FALSE,2002,60,0.683,0.722,-4.039,0.0358,0.0243,4.2e-05,0.35,0.854,95.012,pop
230,Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,TRUE,2001,55,0.697,0.793,-4.699,0.323,0.0844,0,0.0619,0.56,89.767,"hip hop, pop"
231,Céline Dion,A New Day Has Come - Radio Remix,259773,FALSE,2001,59,0.574,0.691,-5.103,0.035,0.0826,1.65e-05,0.149,0.195,91.969,pop
232,Scooter,Nessaja,208449,FALSE,2013,47,0.486,0.904,-6.642,0.0364,0.000748,0.0984,0.187,0.118,143.048,"pop, Dance/Electronic"
233,Eve,Gangsta Lovin',239266,TRUE,2002,58,0.723,0.84,-3.523,0.0608,0.0619,0,0.0945,0.827,94.332,"hip hop, pop, R&B"
234,Disturbing Tha Peace,Move Bitch,272293,TRUE,2002,59,0.777,0.751,-5.692,0.133,0.245,0,0.1,0.191,177.894,"hip hop, pop"
235,Khia,"My Neck, My Back (Lick It)",222560,TRUE,2015,59,0.859,0.625,-4.234,0.13,0.0296,0,0.0537,0.71,102.072,"pop, R&B"
236,Tweet,Oops (Oh My) [feat. Missy Elliott],237800,TRUE,2002,64,0.66,0.536,-8.786,0.29,0.233,0.00669,0.111,0.775,159.963,"hip hop, pop, R&B"
237,Kylie Minogue,Spinning Around,207866,FALSE,2000,55,0.761,0.662,-7.645,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,"pop, Dance/Electronic"
238,Nelly,Hot In Herre,228240,TRUE,2002,75,0.956,0.745,-4.753,0.12,0.206,0,0.0615,0.912,107.075,"hip hop, pop, R&B"
239,Gareth Gates,Anyone of Us (Stupid Mistake),227866,FALSE,2003,53,0.7,0.72,-6.061,0.0261,0.285,0,0.0845,0.654,106.986,pop
240,Christina Aguilera,Dirrty (feat. Redman),298853,FALSE,2002,68,0.64,0.889,-3.073,0.322,0.107,0,0.339,0.436,99.931,pop
241,B2K,Uh Huh,223293,FALSE,2002,49,0.855,0.681,-4.955,0.0688,0.0881,3.7e-06,0.0592,0.908,99.699,"hip hop, pop, R&B"
242,Sugababes,Freak Like Me,195866,FALSE,2002,45,0.517,0.919,-3.451,0.0925,0.0996,1.81e-06,0.557,0.387,91.868,"pop, R&B"
243,Dirty Vegas,Days Go By,432146,FALSE,2002,48,0.786,0.853,-8.274,0.0688,0.0499,0.0872,0.35,0.309,126.99,Dance/Electronic
